Daily Mean PM2.5 Concentration,Max Temp,Avg Dew Point,Max Wind Speed,Avg Humidity
21.3,95,59,9,50.5
21,90,59,7,54.5
22.4,87,61,7,58
20.8,86,61,9,60
22.9,80,60,8,66
19.6,78,59,9,64.5
22.5,77,59,8,66
17.8,77,58,9,66
14.9,78,57,9,67
15.7,78,57,9,64
28.3,81,57,9,66
28,79,57,8,66
21.7,80,56,8,68
23.2,84,57,9,60
24.5,80,57,8,66
30.6,80,57,9,66
28.9,80,56,9,63
26.3,79,55,9,59
13.4,78,55,10,60
19.1,77,56,9,64
23,79,56,9,62.5
21.6,78,55,9,62.5
17.3,78,56,8,64
14.5,78,56,10,67
14.9,80,56,9,66
13.5,81,56,8,64.5
17.1,83,57,7,63
22.4,93,56,8,49
15.6,94,54,8,42.5
11.6,90,56,9,47
16.1,88,56,8,55
15.2,86,55,9,54
16,91,54,8,46
19.8,98,54,0,45.5
21.8,94,55,8,42.5
19.6,90,58,7,52
18.3,87,57,8,55
16,87,54,5,57
13.6,73,52,0,60
14.6,78,55,5,59
17.5,82,54,8,56
21.1,83,56,9,62
27.4,85,57,9,60.5
23.4,83,56,7,64.5
21.1,90,56,9,53.5
21.4,86,57,5,62.5
22.4,80,57,9,60.5
17.7,73,58,7,65
12.6,73,55,8,63
8.8,78,55,9,59
12.8,79,55,9,62
16.5,74,56,8,68.5
27.6,77,55,8,67
17.2,80,55,5,61.5
14.9,83,52,7,49
14.8,81,54,9,56.5
18.3,79,55,8,65.5
31.7,78,55,8,67
37.5,81,56,8,64.5
18.7,80,56,9,65.5
20.7,80,58,8,69
26.5,72,57,7,72.5
16.9,75,54,8,59.5
15.7,83,53,9,53
18.7,94,55,8,52
16.9,98,54,8,45.5
18.6,105,52,8,40.5
14.9,113,49,4,29
18,99,57,7,36
19,92,57,8,47.5
20,94,61,8,54
18.9,90,61,8,58
21.4,90,60,8,58
24.9,80,60,9,69.5
10,68,59,6,76.5
9.1,71,52,9,62
10.8,70,55,9,66.5
14.9,75,51,10,52.5
15.6,81,52,8,54.5
17.3,88,54,8,51.5
16.2,93,54,8,46.5
24.7,88,59,6,56
38.1,82,60,8,66
33.3,80,60,8,66
50.4,77,60,9,70.5
33.6,74,59,8,71
28.4,71,60,7,74.5
13.3,68,60,5,78.5
14.5,71,57,6,69.5
16.2,74,58,7,71
8.4,69,60,7,77
12,70,57,7,72
8.8,69,55,10,71
13.3,70,56,9,78
11.1,71,58,7,74
7.7,74,55,14,60
10.5,72,45,8,51
8.3,82,33,8,38.5
6,84,27,8,26
12.7,79,44,8,55.5
7.8,68,54,9,71
13.5,68,52,7,73.5
14.5,84,51,6,59.5
10.6,90,44,10,47.5
9.2,97,42,8,30
8.9,96,43,8,31.5
12.9,88,43,8,34.5
10.6,74,52,10,60.5
13.2,69,54,9,72.5
4.4,68,48,14,59.5
9.6,68,40,9,54.5
13.1,66,46,9,58.5
11.6,74,30,12,51
9,76,29,8,31
11.4,81,30,7,28
11.2,78,35,8,37.5
17,76,45,6,54.5
31.3,70,51,6,69
48.6,71,52,7,70
31.2,69,53,8,76.5
24.8,62,50,6,70
6.6,64,52,9,76.5
9.7,61,44,13,67.5
13.4,61,41,8,61.5
11,61,43,10,70
10.2,60,41,8,65
16.5,63,32,7,46.5
11.1,68,21,7,31
15.4,62,42,9,59
4,58,31,14,57
9.6,63,23,8,34.5
12.1,67,20,6,35.5
8.7,73,21,6,33
21.8,74,33,6,45.5
34,71,41,5,50
35.5,64,44,7,57
27.7,68,46,12,56.5
17.8,68,49,8,72
13.5,77,44,6,57
16.8,73,42,7,54.5
32.4,69,48,5,69
30.2,73,52,8,72
22.7,78,51,6,66.5
6,85,44,6,41
11.9,80,46,7,58
31,60,50,7,86
21.7,61,51,7,82.5
11.7,63,49,8,72.5
12,57,52,12,83
6.2,61,56,9,92
4.8,63,57,13,95
6.7,61,54,9,91.5
7,58,53,9,89.5
7,58,53,9,89.5
8.4,61,53,8,91.5
17.7,62,50,7,78
20.3,68,48,7,70.5
24.6,62,50,7,81
10.3,63,47,7,66
13.5,67,41,7,60
15,66,44,7,62.5
9.7,57,48,14,68.5
0.9,55,18,17,33
12.3,57,25,10,44
13.8,59,26,8,39.5
10.1,52,37,9,59.5
6.3,57,42,8,74.5
5.6,64,34,6,49
6.4,67,33,7,43.5
8,70,30,7,32
22.9,63,47,7,70.5
20.1,60,46,5,71
19.1,60,45,7,71.5
16.3,63,38,6,58
6.8,72,32,6,39.5
6.5,75,36,7,43.5
12,80,41,5,45.5
10.5,82,37,7,42.5
18.2,84,49,7,52.5
26.4,82,49,6,51
32.1,70,52,7,72
9.4,75,27,3,37.5
15.8,71,43,6,58.5
19.6,67,45,6,66
8.8,58,48,12,79.5
8.7,65,45,7,68.5
16.1,63,46,9,70.5
9.9,62,29,9,44
16.4,66,41,8,64.5
28.1,67,48,5,72.5
21.8,76,49,7,63.5
10.3,79,44,7,58.5
7,69,27,3,35
7.6,75,24,8,28.5
6.9,80,24,8,24
13.5,71,38,2,52
20.4,65,47,8,66
14.6,64,53,8,75
4,62,53,1,77.5
5.6,60,37,2,58
6.6,62,46,14,66.5
3,58,43,6,70
4.9,59,40,8,71.5
12,60,39,8,65
11.2,62,40,8,64
11.8,61,41,6,66
6.1,57,47,7,77.5
2.4,56,39,7,64
5.7,58,27,2,45
10.5,66,35,3,53
10.7,63,38,8,53.5
11.5,65,46,8,65
13.1,67,52,8,83.5
17.8,75,50,7,65.5
8.1,79,39,9,43
9.4,63,51,9,77
3.2,67,43,16,57.5
8.9,70,40,12,54
7.3,85,38,7,45.5
10.3,80,45,9,48.5
12.3,71,48,8,69
14.5,66,49,9,72.5
17,68,49,12,71
15.9,72,50,9,68
11.8,76,52,10,66
11.9,70,52,6,71
11.8,71,44,7,54
11.7,68,44,10,55.5
5.6,60,47,8,65.5
7.9,62,43,13,69.5
