Daily Mean PM2.5 Concentration,Max Temp,Avg Dew Point,Max Wind Speed,Avg Humidity
1,76,41,8,55
1,75,56,9,67
1,76,57,9,70
1,84,58,9,61.5
1,81,52,8,58
1,84,49,7,52.5
1,73,52,9,67.5
1,72,48,5,61
1,69,40,7,55.5
1,81,51,8,51.5
1,72,55,9,74.5
1,97,63,9,53
1,88,64,9,68.5
1,85,63,9,67.5
1,76,48,6,58
1,79,57,8,65.5
1,100,50,8,39.5
1,83,54,7,55
1,75,48,9,55
1,80,58,9,69
1,80,61,8,73.5
1,87,58,9,66
1,64,40,8,60
1,74,42,7,54
1,63,55,8,85.5
1,72,55,12,73.5
1,91,57,6,53
1,79,60,9,69
1,72,52,10,63.5
1,89,60,8,59.5
1,77,55,9,62
1,99,57,7,36
1,70,52,8,71.5
1,83,60,8,74
1,88,46,9,52
1,76,57,8,67
1,74,50,8,62.5
1,72,53,9,67.5
1,60,48,8,75.5
1,80,62,9,74.5
1,95,52,7,49
1,93,63,9,59
1,65,53,6,81
1,81,58,9,64.5
1,86,59,6,65.5
1,77,55,10,66.5
1,75,57,8,72
1,67,50,13,66
1,76,50,10,60.5
1,89,59,8,59.5
1,88,64,9,67
1,67,52,8,75.5
1,85,61,9,65.5
1,73,45,8,42.5
1,84,61,8,69
1,77,58,9,66
1,68,49,8,72
1,75,50,7,65.5
1,77,43,7,56
1,75,40,6,58
1,74,51,12,60.5
1,71,47,10,52.5
1,92,38,10,43.5
1,91,28,10,25.5
1,65,50,8,74.5
1,79,55,10,64.5
1,73,59,7,74
1,78,51,8,59
1,73,53,8,65.5
1,68,46,13,53
1,74,39,7,51.5
1,73,58,7,65
1,62,50,7,78
1,90,61,7,59
1,83,58,9,67.5
1,80,59,9,67.5
1,82,58,8,64.5
1,65,43,7,68
1,88,57,10,60.5
1,65,44,9,64
1,61,36,6,57.5
1,83,58,12,65.5
1,75,59,8,72
1,62,34,7,54.5
1,65,51,6,72.5
1,73,50,8,65.5
1,80,57,8,64.5
1,84,53,9,51
1,67,47,9,62.5
1,59,34,31,52
1,79,54,9,60
1,76,56,9,75
1,96,59,9,51
1,64,42,7,67.5
1,75,55,8,70
1,76,57,9,65.5
1,69,51,9,69
1,81,39,7,47.5
1,83,62,10,66
1,69,55,8,72.5
1,83,61,8,67
1,72,40,7,50.5
1,63,47,8,69
1,82,54,8,56
1,78,58,9,72
1,71,43,9,54
1,71,53,9,68.5
1,96,38,10,32.5
1,81,57,12,61
1,89,62,10,59
1,100,65,7,45.5
1,87,58,5,61
1,98,58,0,57.5
1,81,58,7,69
1,88,42,9,40.5
1,91,53,9,42
1,80,60,8,69
1,89,62,9,60.5
1,82,60,8,66
1,71,49,8,67
1,84,47,6,52.5
1,78,56,8,64
1,88,54,8,51.5
1,70,53,14,72
1,76,47,9,48
1,78,57,13,62
1,72,55,10,72.5
1,82,52,7,59.5
1,82,38,7,39.5
1,76,36,6,54.5
1,85,61,10,62
1,91,56,10,55
1,78,46,7,54.5
1,77,56,8,70.5
1,78,57,8,69
1,82,62,5,70.5
1,79,43,5,56
1,78,58,9,72
1,86,62,8,64
1,73,58,8,69.5
1,80,55,5,61.5
1,68,55,7,78
1,82,59,8,67.5
1,80,42,8,70.5
1,77,58,10,69
1,72,54,12,73
1,96,61,9,55.5
1,69,41,6,62
1,70,51,10,66
1,70,51,8,71
1,83,57,7,63
1,63,49,7,76.5
1,70,54,10,67.5
1,81,59,12,64.5
1,71,57,7,73.5
1,60,51,8,80
1,81,60,8,72
1,88,57,9,52
1,76,55,8,64
1,81,59,8,68
1,73,54,8,70
1,66,47,7,67
1,64,45,8,64
1,76,56,8,69.5
1,83,61,8,60.5
1,66,46,7,64.5
1,94,57,10,50
1,76,45,6,54.5
1,68,49,12,71
1,74,55,8,70.5
1,65,31,7,48.5
1,59,44,10,74
1,93,28,10,32
1,68,49,9,66.5
1,89,59,9,58.5
1,82,61,6,73
1,77,49,9,55.5
1,77,56,10,64
1,75,54,8,59.5
1,98,54,8,45.5
1,84,57,8,63.5
1,78,57,9,70
1,71,53,10,65
1,79,59,8,72
1,77,59,9,77
1,86,57,10,57.5
1,102,64,8,53
1,97,58,9,47
1,82,60,8,67.5
1,67,42,8,55.5
1,73,42,7,54.5
1,88,58,10,62
1,79,60,9,74.5
1,66,47,7,70.5
1,91,61,8,59.5
1,71,53,7,69.5
1,86,63,8,63
1,73,45,9,56.5
1,81,58,9,66
1,76,52,8,61
1,73,54,7,75
1,79,58,8,72
1,63,55,7,86
1,85,42,8,46.5
1,76,56,10,69
1,69,40,8,52
1,65,45,9,67.5
1,83,62,8,72
1,65,54,7,75
